Code,Category,ShortDescription,LongDescription,IsCommon,Severity,SearchTerms
E66.1,Endocrin,Obezitate medicamentoasa,Obezitate medicamentoasa,0,Moderate,obezitate medicament
E66.2,Endocrin,Obezitate extrema cu hipoventilatie alveolara,Obezitate extrema cu hipoventilatie alveolara,0,Severe,obezitate pickwick
E66.8,Endocrin,Alte forme de obezitate,Alte forme de obezitate,0,Moderate,obezitate
E66.9,Endocrin,Obezitate nespecificata,Obezitate nespecificata,1,Moderate,obezitate
E78.0,Endocrin,Hipercolesterolemie pura,Hipercolesterolemie pura,1,Mild,colesterol crescut hipercolesterolemie
E78.1,Endocrin,Hipergliceridemie pura,Hipergliceridemie pura,1,Mild,trigliceride crescute
E78.2,Endocrin,Hiperlipidemia mixta,Hiperlipidemia mixta,1,Mild,colesterol trigliceride crescute
E78.4,Endocrin,Alte hiperlipidemii,Alte hiperlipidemii,0,Mild,hiperlipidemie
E78.5,Endocrin,Hiperlipidemia nespecificata,Hiperlipidemia nespecificata,1,Mild,hiperlipidemie dislipidemie
E79.0,Endocrin,Hiperuricemie fara semne de guta,Hiperuricemie fara semne de artrita gutoasa si noduli tofacei,1,Mild,acid uric crescut
E83.1,Endocrin,Boala de suprancarcare cu fier,Boala de supranarcare cu fier (Hemocromatoza),0,Moderate,hemocromatoza fier
E83.3,Endocrin,Tulburari ale metabolismului fosforului,Tulburari ale metabolismului fosforului si fosfatazei,0,Mild,fosfor
E83.5,Endocrin,Tulburari ale metabolismului calciului,Tulburari ale metabolismului calciului,1,Mild,calciu
E86,Endocrin,Deple?ie de volum,Deple?ie de volum (deshidratare),1,Moderate,deshidratare
E87.0,Endocrin,Hiperosmolaritate si hipernatremie,Hiperosmolaritate si hipernatremie,0,Moderate,sodiu crescut hipernatremie
E87.1,Endocrin,Hipoosmolaritate si hiponatremie,Hipoosmolaritate si hiponatremie,1,Moderate,sodiu scazut hiponatremie
E87.2,Endocrin,Acidoza,Acidoza,0,Severe,acidoza
E87.3,Endocrin,Alcaloza,Alcaloza,0,Moderate,alcaloza
E87.5,Endocrin,Hiperkaliemie,Hiperkaliemie,1,Severe,potasiu crescut hiperkaliemie
E87.6,Endocrin,Hipokaliemie,Hipokaliemie,1,Moderate,potasiu scazut hipokaliemie
E87.8,Endocrin,Alte tulburari ale echilibrului hidro-electrolitic,Alte tulburari ale echilibrului hidro-electrolitic,0,Moderate,electroliti dezechilibru
E88.9,Endocrin,Tulburare metabolica nespecificata,Tulburare metabolica nespecificata,0,Mild,metabolism tulburare
E89.0,Endocrin,Hipotiroidism postprocedural,Hipotiroidism postprocedural,0,Mild,hipotiroidism postchirurgical
